selling_price,availability,color,category,average_rating,reviews_count
63,InStock,Grey,Shoes,4.2,38
84,InStock,White,Shoes,4.8,80
84,InStock,White,Shoes,4.8,80
60,InStock,White,Shoes,4.8,78
46,InStock,White,Shoes,4.6,395
84,InStock,Yellow,Shoes,4.8,80
60,InStock,Grey,Shoes,4.6,377
28,InStock,Blue,Shoes,4.4,79
108,InStock,Black,Shoes,4.5,385
46,InStock,Black,Shoes,4.7,17
46,InStock,White,Shoes,4.7,17
60,InStock,White,Shoes,4.6,377
68,InStock,Black,Shoes,4.6,28
56,InStock,Green,Shoes,4.6,135
53,OutOfStock,Black,Shoes,4.8,78
80,InStock,White,Shoes,4.7,24
56,InStock,White,Shoes,4.4,44
96,InStock,Purple,Shoes,4.7,18
60,InStock,Burgundy,Shoes,4.6,377
56,InStock,Black,Shoes,4.5,72
56,InStock,White,Shoes,4.4,44
46,InStock,White,Shoes,4.7,17
56,InStock,White,Shoes,4.5,72
56,InStock,Green,Shoes,4.9,14
42,InStock,Black,Shoes,4.6,8
14,InStock,Beige,Accessories,4.7,55
52,InStock,Red,Shoes,4.7,105
32,InStock,Blue,Clothing,4.3,3
56,InStock,Pink,Shoes,4.8,29
32,InStock,Multicolor,Accessories,4.9,33
40,InStock,Blue,Clothing,5,4
12,InStock,Grey,Accessories,4.7,15
196,InStock,Black,Accessories,5,1
52,InStock,Black,Clothing,4.8,89
28,InStock,Blue,Clothing,4.7,18
28,InStock,Blue,Accessories,4.8,206
20,InStock,White,Clothing,4.5,29
60,InStock,Multi,Clothing,5,2
52,InStock,Black,Shoes,4.7,41
32,InStock,Blue,Accessories,4.8,38
80,InStock,Purple,Clothing,5,3
26,InStock,Red,Clothing,5,1
23,InStock,Yellow,Clothing,4.7,15
46,InStock,Black,Clothing,4.6,112
32,InStock,Orange,Clothing,5,1
42,InStock,Grey,Shoes,4.9,171
105,InStock,Green,Shoes,4.3,15
41,InStock,Black,Clothing,4.9,18
32,InStock,Black,Clothing,4.3,3
28,InStock,Green,Clothing,4,11
44,InStock,Blue,Shoes,4.5,191
56,InStock,Black,Clothing,4.8,39
19,InStock,White,Clothing,5,1
41,InStock,Red,Clothing,4.8,9
23,InStock,Purple,Clothing,4.8,13
36,InStock,Purple,Clothing,4.6,76
16,InStock,Multicolor,Accessories,4.8,120
56,InStock,Green,Clothing,5,1
56,InStock,White,Clothing,5,1
23,InStock,White,Clothing,4.2,9
56,InStock,White,Clothing,5,1
56,InStock,Purple,Clothing,5,1
40,InStock,Green,Clothing,5,1
56,InStock,Green,Clothing,5,1
40,InStock,Black,Clothing,5,1
20,InStock,Blue,Clothing,4.7,41
18,InStock,Green,Clothing,4.7,51
18,InStock,Blue,Clothing,4.7,51
36,InStock,Blue,Clothing,4.1,14
56,InStock,Black,Clothing,5,1
36,InStock,Black,Clothing,4.7,58
41,InStock,Blue,Clothing,4.7,58
32,InStock,Black,Clothing,4.5,34
26,InStock,Grey,Clothing,4.2,87
24,InStock,Black,Clothing,4.8,27
32,InStock,Pink,Clothing,4.1,50
28,InStock,Black,Clothing,4.8,11
25,InStock,Pink,Clothing,4.7,9
36,InStock,Black,Clothing,4.1,14
28,InStock,Black,Clothing,4.8,4
180,InStock,Grey,Shoes,4.2,562
180,InStock,Orange,Shoes,4.2,562
24,InStock,Black,Clothing,4.7,3
23,InStock,Purple,Clothing,4.6,7
20,InStock,Pink,Clothing,4.6,33
42,InStock,Pink,Shoes,4.6,14
40,InStock,Pink,Clothing,4,2
20,InStock,Purple,Clothing,4.6,33
27,InStock,Grey,Clothing,4.5,13
42,InStock,Pink,Clothing,4.5,2
40,InStock,Purple,Shoes,4.5,50
56,InStock,Pink,Clothing,5,1
52,InStock,Red,Clothing,4.6,14
32,InStock,Pink,Clothing,4.4,34
24,InStock,Pink,Clothing,4,2
72,InStock,Purple,Clothing,4.4,44
23,InStock,Pink,Clothing,4.7,15
28,InStock,Pink,Clothing,4.4,31
28,InStock,Purple,Clothing,4.8,12
23,InStock,Pink,Clothing,4.2,9
20,InStock,Pink,Clothing,4.4,10
28,InStock,Pink,Clothing,4.8,6
20,InStock,Multicolor,Accessories,5,2
46,InStock,Purple,Clothing,4.6,14
40,InStock,Pink,Shoes,4.8,79
40,InStock,White,Shoes,5,9
96,InStock,Green,Shoes,4.3,8
44,InStock,Pink,Shoes,4.8,16
36,InStock,Pink,Clothing,4.6,46
70,InStock,White,Shoes,4.7,135
84,InStock,White,Shoes,4.3,151
35,InStock,White,Shoes,4.5,13
105,InStock,White,Shoes,4.5,52
56,InStock,Black,Shoes,4.6,16
63,InStock,Pink,Shoes,4.5,42
70,InStock,White,Shoes,4.7,85
84,InStock,White,Shoes,5,6
56,InStock,White,Shoes,4.6,16
48,InStock,Green,Shoes,4.9,27
53,InStock,White,Shoes,5,4
70,InStock,White,Shoes,4.4,16
96,InStock,White,Shoes,4.3,8
70,InStock,White,Shoes,4.7,135
70,InStock,White,Shoes,4.6,21
56,InStock,Black,Shoes,4.5,50
44,InStock,Grey,Shoes,5,6
105,InStock,White,Shoes,4.5,52
16,InStock,Green,Clothing,4.5,63
96,InStock,White,Shoes,4.3,48
240,InStock,Black,Clothing,5,4
108,InStock,Green,Clothing,1,1
46,InStock,Black,Shoes,4.8,91
20,InStock,Blue,Clothing,4.8,34
32,InStock,Blue,Clothing,4.4,7
88,InStock,Beige,Shoes,4.8,16
44,InStock,Black,Clothing,4,4
39,InStock,Blue,Shoes,4.5,191
